timestamp,temperature_c,precipitation_mm,wind_speed_kmh,weather_condition
2025-08-24 20:14:48,19.2,7.02,9.3,Clear
2025-08-24 21:14:48,19.7,0.0,15.7,Cloudy
2025-08-24 22:14:48,10.1,0.0,13.0,Clear
2025-08-24 23:14:48,13.4,0.0,4.4,Snow
2025-08-25 00:14:48,17.3,0.63,11.6,Clear
2025-08-25 01:14:48,20.3,1.39,4.9,Rain
2025-08-25 02:14:48,15.1,0.0,12.1,Snow
2025-08-25 03:14:48,23.3,0.0,9.3,Clear
2025-08-25 04:14:48,31.7,1.41,9.1,Clear
2025-08-25 05:14:48,4.9,0.0,15.1,Cloudy
2025-08-25 06:14:48,20.6,0.0,7.8,Cloudy
2025-08-25 07:14:48,14.0,1.81,13.3,Fog
2025-08-25 08:14:48,19.7,0.0,16.3,Snow
2025-08-25 09:14:48,6.8,0.05,8.2,Clear
2025-08-25 10:14:48,3.9,2.77,15.6,Clear
2025-08-25 11:14:48,20.7,0.0,15.8,Cloudy
2025-08-25 12:14:48,14.7,1.78,1.3,Rain
2025-08-25 13:14:48,9.5,1.62,8.8,Fog
2025-08-25 14:14:48,31.1,0.0,15.4,Clear
2025-08-25 15:14:48,13.5,1.25,6.5,Fog
2025-08-25 16:14:48,15.3,0.0,14.4,Clear
2025-08-25 17:14:48,32.8,0.0,10.9,Rain
2025-08-25 18:14:48,-2.4,0.0,13.3,Clear
2025-08-25 19:14:48,15.3,0.0,11.0,Cloudy
2025-08-25 20:14:48,9.8,0.0,7.5,Cloudy
2025-08-25 21:14:48,22.1,0.0,7.4,Clear
2025-08-25 22:14:48,35.8,0.59,14.3,Cloudy
2025-08-25 23:14:48,11.8,0.0,5.6,Rain
2025-08-26 00:14:48,37.5,0.89,12.4,Rain
2025-08-26 01:14:48,-4.6,2.23,10.3,Rain
2025-08-26 02:14:48,11.8,0.0,13.2,Clear
2025-08-26 03:14:48,14.3,0.31,10.4,Clear
2025-08-26 04:14:48,11.0,0.0,10.5,Clear
2025-08-26 05:14:48,16.7,0.76,10.5,Clear
2025-08-26 06:14:48,12.7,0.0,11.4,Fog
2025-08-26 07:14:48,26.5,0.0,9.0,Cloudy
2025-08-26 08:14:48,-8.3,0.68,13.8,Rain
2025-08-26 09:14:48,25.5,0.88,12.9,Snow
2025-08-26 10:14:48,31.3,0.0,8.8,Rain
2025-08-26 11:14:48,8.7,1.49,11.1,Clear
2025-08-26 12:14:48,16.5,0.76,10.4,Cloudy
2025-08-26 13:14:48,10.5,0.0,14.3,Fog
2025-08-26 14:14:48,20.2,0.0,12.3,Rain
2025-08-26 15:14:48,10.9,0.29,8.3,Cloudy
2025-08-26 16:14:48,24.3,1.29,14.5,Rain
2025-08-26 17:14:48,-7.3,1.28,10.6,Clear
2025-08-26 18:14:48,15.3,0.0,11.8,Clear
2025-08-26 19:14:48,3.4,0.0,13.3,Cloudy
2025-08-26 20:14:48,20.8,2.15,5.0,Rain
2025-08-26 21:14:48,22.7,0.96,9.4,Snow
2025-08-26 22:14:48,16.7,0.0,10.4,Cloudy
2025-08-26 23:14:48,7.4,0.0,4.2,Snow
2025-08-27 00:14:48,20.0,0.0,14.1,Clear
2025-08-27 01:14:48,18.1,0.0,9.2,Clear
2025-08-27 02:14:48,28.9,0.21,10.4,Clear
2025-08-27 03:14:48,30.1,0.0,6.4,Clear
2025-08-27 04:14:48,30.0,0.0,2.2,Clear
2025-08-27 05:14:48,34.1,0.0,5.7,Cloudy
2025-08-27 06:14:48,19.2,0.0,11.9,Clear
2025-08-27 07:14:48,5.3,1.3,7.8,Rain
2025-08-27 08:14:48,22.6,0.0,6.8,Clear
2025-08-27 09:14:48,-10.7,0.0,6.6,Snow
2025-08-27 10:14:48,11.6,0.28,6.3,Rain
2025-08-27 11:14:48,22.8,0.0,9.8,Cloudy
2025-08-27 12:14:48,19.5,0.0,9.2,Rain
2025-08-27 13:14:48,20.9,1.73,7.0,Clear
2025-08-27 14:14:48,-4.8,0.0,5.8,Snow
2025-08-27 15:14:48,10.4,0.0,9.5,Rain
2025-08-27 16:14:48,12.9,0.0,11.6,Rain
2025-08-27 17:14:48,-2.9,0.32,8.5,Cloudy
2025-08-27 18:14:48,9.1,0.0,9.4,Clear
2025-08-27 19:14:48,43.2,0.0,9.0,Clear
2025-08-27 20:14:48,12.3,0.0,10.9,Clear
2025-08-27 21:14:48,14.1,6.01,7.5,Rain
2025-08-27 22:14:48,26.6,0.7,7.6,Clear
