timestamp,temperature_c,precipitation_mm,wind_speed_kmh,weather_condition
,8.7,1.49,11.1,Clear
,16.5,0.76,10.4,Cloudy
,10.5,0.0,14.3,Fog
,20.2,0.0,12.3,Rain
,10.9,0.29,8.3,Cloudy
,24.3,1.29,14.5,Rain
,-7.3,1.28,10.6,Clear
,15.3,0.0,11.8,Clear
,3.4,0.0,13.3,Cloudy
,20.8,2.15,5.0,Rain
,22.7,0.96,9.4,Snow
,16.7,0.0,10.4,Cloudy
,7.4,0.0,4.2,Snow
,20.0,0.0,14.1,Clear
,18.1,0.0,9.2,Clear
,28.9,0.21,10.4,Clear
,30.1,0.0,6.4,Clear
,30.0,0.0,2.2,Clear
,34.1,0.0,5.7,Cloudy
,19.2,0.0,11.9,Clear
,5.3,1.3,7.8,Rain
,22.6,0.0,6.8,Clear
,-10.7,0.0,6.6,Snow
,11.6,0.28,6.3,Rain
,22.8,0.0,9.8,Cloudy
,19.5,0.0,9.2,Rain
,20.9,1.73,7.0,Clear
,-4.8,0.0,5.8,Snow
,10.4,0.0,9.5,Rain
,12.9,0.0,11.6,Rain
,-2.9,0.32,8.5,Cloudy
,9.1,0.0,9.4,Clear
,43.2,0.0,9.0,Clear
,12.3,0.0,10.9,Clear
,14.1,6.01,7.5,Rain
,26.6,0.7,7.6,Clear
